PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34627209","Effect of physical activity and exercise on endometriosis-associated symptoms: a systematic review","Tennfjord MK, Gabrielsen R, Tellum T.","BMC Womens Health. 2021 Oct 9;21(1):355. doi: 10.1186/s12905-021-01500-4.","Tennfjord MK","BMC Womens Health","2021","2021/10/10","PMC8502311","","10.1186/s12905-021-01500-4"
"37441792","Barriers to a Timely Diagnosis of Endometriosis: A Qualitative Systematic Review","Davenport S, Smith D, Green DJ.","Obstet Gynecol. 2023 Sep 1;142(3):571-583. doi: 10.1097/AOG.0000000000005255. Epub 2023 Jul 13.","Davenport S","Obstet Gynecol","2023","2023/07/13","","","10.1097/AOG.0000000000005255"
"36571475","Benefits of physical therapy in improving quality of life and pain associated with endometriosis: A systematic review and meta-analysis","Abril-Coello R, Correyero-León M, Ceballos-Laita L, Jiménez-Barrio S.","Int J Gynaecol Obstet. 2023 Jul;162(1):233-243. doi: 10.1002/ijgo.14645. Epub 2023 Jan 17.","Abril-Coello R","Int J Gynaecol Obstet","2023","2022/12/26","","","10.1002/ijgo.14645"
"31618674","Extrapelvic Endometriosis: A Systematic Review","Andres MP, Arcoverde FVL, Souza CCC, Fernandes LFC, Abrão MS, Kho RM.","J Minim Invasive Gynecol. 2020 Feb;27(2):373-389. doi: 10.1016/j.jmig.2019.10.004. Epub 2019 Oct 13.","Andres MP","J Minim Invasive Gynecol","2020","2019/10/17","","","10.1016/j.jmig.2019.10.004"
"39373298","Time to Diagnose Endometriosis: Current Status, Challenges and Regional Characteristics-A Systematic Literature Review","De Corte P, Klinghardt M, von Stockum S, Heinemann K.","BJOG. 2025 Jan;132(2):118-130. doi: 10.1111/1471-0528.17973. Epub 2024 Oct 7.","De Corte P","BJOG","2025","2024/10/07","PMC11625652","","10.1111/1471-0528.17973"
"33202017","Endometriosis and cancer: a systematic review and meta-analysis","Kvaskoff M, Mahamat-Saleh Y, Farland LV, Shigesi N, Terry KL, Harris HR, Roman H, Becker CM, As-Sanie S, Zondervan KT, Horne AW, Missmer SA.","Hum Reprod Update. 2021 Feb 19;27(2):393-420. doi: 10.1093/humupd/dmaa045.","Kvaskoff M","Hum Reprod Update","2021","2020/11/17","","","10.1093/humupd/dmaa045"
"33095458","Laparoscopic surgery for endometriosis","Bafort C, Beebeejaun Y, Tomassetti C, Bosteels J, Duffy JM.","Cochrane Database Syst Rev. 2020 Oct 23;10(10):CD011031. doi: 10.1002/14651858.CD011031.pub3.","Bafort C","Cochrane Database Syst Rev","2020","2020/10/23","PMC8428328","","10.1002/14651858.CD011031.pub3"
"33206374","Pre- and postsurgical medical therapy for endometriosis surgery","Chen I, Veth VB, Choudhry AJ, Murji A, Zakhari A, Black AY, Agarpao C, Maas JW.","Cochrane Database Syst Rev. 2020 Nov 18;11(11):CD003678. doi: 10.1002/14651858.CD003678.pub3.","Chen I","Cochrane Database Syst Rev","2020","2020/11/18","PMC8127059","","10.1002/14651858.CD003678.pub3"
"39098538","Recurrence after surgery for endometrioma: a systematic review and meta-analyses","Veth VB, Keukens A, Reijs A, Bongers MY, Mijatovic V, Coppus SFPJ, Maas JWM.","Fertil Steril. 2024 Dec;122(6):1079-1093. doi: 10.1016/j.fertnstert.2024.07.033. Epub 2024 Aug 5.","Veth VB","Fertil Steril","2024","2024/08/04","","","10.1016/j.fertnstert.2024.07.033"
"32949284","Endometriosis and irritable bowel syndrome: a systematic review and meta-analysis","Chiaffarino F, Cipriani S, Ricci E, Mauri PA, Esposito G, Barretta M, Vercellini P, Parazzini F.","Arch Gynecol Obstet. 2021 Jan;303(1):17-25. doi: 10.1007/s00404-020-05797-8. Epub 2020 Sep 19.","Chiaffarino F","Arch Gynecol Obstet","2021","2020/09/19","","","10.1007/s00404-020-05797-8"
"39098544","Noninvasive Diagnosis of Endometriosis in Adolescents and Young Female Adults: A Systematic Review","Oliveira IJ, Pinto PV, Bernardes J.","J Pediatr Adolesc Gynecol. 2025 Apr;38(2):124-138. doi: 10.1016/j.jpag.2024.07.005. Epub 2024 Aug 7.","Oliveira IJ","J Pediatr Adolesc Gynecol","2025","2024/08/04","","","10.1016/j.jpag.2024.07.005"
"37644533","Antioxidant vitamins supplementation reduce endometriosis related pelvic pain in humans: a systematic review and meta-analysis","Zheng SH, Chen XX, Chen Y, Wu ZC, Chen XQ, Li XL.","Reprod Biol Endocrinol. 2023 Aug 29;21(1):79. doi: 10.1186/s12958-023-01126-1.","Zheng SH","Reprod Biol Endocrinol","2023","2023/08/29","PMC10464024","","10.1186/s12958-023-01126-1"
"30664383","Hormonal contraception in women with endometriosis: a systematic review","Grandi G, Barra F, Ferrero S, Sileo FG, Bertucci E, Napolitano A, Facchinetti F.","Eur J Contracept Reprod Health Care. 2019 Feb;24(1):61-70. doi: 10.1080/13625187.2018.1550576. Epub 2019 Jan 21.","Grandi G","Eur J Contracept Reprod Health Care","2019","2019/01/22","","","10.1080/13625187.2018.1550576"
"36578019","Effects of vitamin D supplementation in endometriosis: a systematic review","Kalaitzopoulos DR, Samartzis N, Daniilidis A, Leeners B, Makieva S, Nirgianakis K, Dedes I, Metzler JM, Imesch P, Lempesis IG.","Reprod Biol Endocrinol. 2022 Dec 28;20(1):176. doi: 10.1186/s12958-022-01051-9.","Kalaitzopoulos DR","Reprod Biol Endocrinol","2022","2022/12/28","PMC9795583","","10.1186/s12958-022-01051-9"
"38101562","Noninvasive diagnostic imaging for endometriosis part 1: a systematic review of recent developments in ultrasound, combination imaging, and artificial intelligence","Avery JC, Deslandes A, Freger SM, Leonardi M, Lo G, Carneiro G, Condous G, Hull ML; Imagendo Study Group.","Fertil Steril. 2024 Feb;121(2):164-188. doi: 10.1016/j.fertnstert.2023.12.008. Epub 2023 Dec 14.","Avery JC","Fertil Steril","2024","2023/12/15","","","10.1016/j.fertnstert.2023.12.008"
"33020832","Endometriosis recurrence following post-operative hormonal suppression: a systematic review and meta-analysis","Zakhari A, Delpero E, McKeown S, Tomlinson G, Bougie O, Murji A.","Hum Reprod Update. 2021 Jan 4;27(1):96-107. doi: 10.1093/humupd/dmaa033.","Zakhari A","Hum Reprod Update","2021","2020/10/06","PMC7781224","","10.1093/humupd/dmaa033"
"37768015","The effect of two anti-inflammatory dietary components, omega-3 and resveratrol, on endometriosis","Sienko A, Cichosz A, Urban A, Smolarczyk R, Czajkowski K, Sienko J.","Ginekol Pol. 2024;95(7):573-583. doi: 10.5603/gpl.97573. Epub 2023 Sep 28.","Sienko A","Ginekol Pol","2024","2023/09/28","","","10.5603/gpl.97573"
"39110208","Acupuncture for clinical improvement of endometriosis-related pain: a systematic review and meta-analysis","Chen C, Li X, Lu S, Yang J, Liu Y.","Arch Gynecol Obstet. 2024 Oct;310(4):2101-2114. doi: 10.1007/s00404-024-07675-z. Epub 2024 Aug 7.","Chen C","Arch Gynecol Obstet","2024","2024/08/07","PMC11393010","","10.1007/s00404-024-07675-z"
"38190884","The Effect of Hormonal Treatment on Ovarian Endometriomas: A Systematic Review and Meta-Analysis","Thiel PS, Donders F, Kobylianskii A, Maheux-Lacroix S, Matelski J, Walsh C, Murji A.","J Minim Invasive Gynecol. 2024 Apr;31(4):273-279. doi: 10.1016/j.jmig.2024.01.002. Epub 2024 Jan 6.","Thiel PS","J Minim Invasive Gynecol","2024","2024/01/08","","","10.1016/j.jmig.2024.01.002"
"32841755","Surgical Outcomes after Colorectal Surgery for Endometriosis: A Systematic Review and Meta-analysis","Bendifallah S, Puchar A, Vesale E, Moawad G, Daraï E, Roman H.","J Minim Invasive Gynecol. 2021 Mar;28(3):453-466. doi: 10.1016/j.jmig.2020.08.015. Epub 2020 Aug 22.","Bendifallah S","J Minim Invasive Gynecol","2021","2020/08/26","","","10.1016/j.jmig.2020.08.015"
"34077695","Depression, Anxiety, and Correlating Factors in Endometriosis: A Systematic Review and Meta-Analysis","van Barneveld E, Manders J, van Osch FHM, van Poll M, Visser L, van Hanegem N, Lim AC, Bongers MY, Leue C.","J Womens Health (Larchmt). 2022 Feb;31(2):219-230. doi: 10.1089/jwh.2021.0021. Epub 2021 Jun 2.","van Barneveld E","J Womens Health (Larchmt)","2022","2021/06/02","","","10.1089/jwh.2021.0021"
"35245715","Impact of diet on pain perception in women with endometriosis: A systematic review","Sverrisdóttir UÁ, Hansen S, Rudnicki M.","Eur J Obstet Gynecol Reprod Biol. 2022 Apr;271:245-249. doi: 10.1016/j.ejogrb.2022.02.028. Epub 2022 Feb 25.","Sverrisdóttir UÁ","Eur J Obstet Gynecol Reprod Biol","2022","2022/03/04","","","10.1016/j.ejogrb.2022.02.028"
"36528440","Ultrasound Elastography for the Diagnosis of Endometriosis and Adenomyosis: A Systematic Review with Meta-analysis","Brunelli AC, Brito LGO, Moro FAS, Jales RM, Yela DA, Benetti-Pinto CL.","Ultrasound Med Biol. 2023 Mar;49(3):699-709. doi: 10.1016/j.ultrasmedbio.2022.11.006. Epub 2022 Dec 15.","Brunelli AC","Ultrasound Med Biol","2023","2022/12/17","","","10.1016/j.ultrasmedbio.2022.11.006"
"38749550","Long acting progestogens versus combined oral contraceptive pill for preventing recurrence of endometriosis related pain: the PRE-EMPT pragmatic, parallel group, open label, randomised controlled trial","Cooper KG, Bhattacharya S, Daniels JP, Horne AW, Clark TJ, Saridogan E, Cheed V, Pirie D, Melyda M, Monahan M, Roberts TE, Cox E, Stubbs C, Middleton LJ; PRE-EMPT Collaborative Group.","BMJ. 2024 May 15;385:e079006. doi: 10.1136/bmj-2023-079006.","Cooper KG","BMJ","2024","2024/05/15","PMC11094611","","10.1136/bmj-2023-079006"
"39261815","Can general exercise training and pelvic floor muscle training be used as an empowering tool among women with endometriosis? Experiences among women with endometriosis participating in the intervention group of a randomized controlled trial","Tennfjord MK, Gabrielsen R, Bø K, Engh ME, Molin M.","BMC Womens Health. 2024 Sep 12;24(1):505. doi: 10.1186/s12905-024-03356-w.","Tennfjord MK","BMC Womens Health","2024","2024/09/11","PMC11391730","","10.1186/s12905-024-03356-w"
"37944155","Medical Management of Ovarian Endometriomas: A Systematic Review and Meta-analysis","Eberle A, Nguyen DB, Smith JP, Mansour FW, Krishnamurthy S, Zakhari A.","Obstet Gynecol. 2024 Jan 1;143(1):53-66. doi: 10.1097/AOG.0000000000005444. Epub 2023 Nov 9.","Eberle A","Obstet Gynecol","2024","2023/11/09","","","10.1097/AOG.0000000000005444"
"38648863","Linzagolix therapy versus a placebo in patients with endometriosis-associated pain: a prospective, randomized, double-blind, Phase 3 study (EDELWEISS 3)","Donnez J, Becker C, Taylor H, Carmona Herrera F, Donnez O, Horne A, Paszkowski M, Petraglia F, Renner SP, Patel A, Boolell M, Bestel E, Dolmans MM.","Hum Reprod. 2024 Jun 3;39(6):1208-1221. doi: 10.1093/humrep/deae076.","Donnez J","Hum Reprod","2024","2024/04/22","PMC11144970","","10.1093/humrep/deae076"
"31318420","Reproductive, obstetric, and perinatal outcomes of women with adenomyosis and endometriosis: a systematic review and meta-analysis","Horton J, Sterrenburg M, Lane S, Maheshwari A, Li TC, Cheong Y.","Hum Reprod Update. 2019 Sep 11;25(5):592-632. doi: 10.1093/humupd/dmz012.","Horton J","Hum Reprod Update","2019","2019/07/19","","","10.1093/humupd/dmz012"
"27132058","Blood biomarkers for the non-invasive diagnosis of endometriosis","Nisenblat V, Bossuyt PM, Shaikh R, Farquhar C, Jordan V, Scheffers CS, Mol BW, Johnson N, Hull ML.","Cochrane Database Syst Rev. 2016 May 1;2016(5):CD012179. doi: 10.1002/14651858.CD012179.","Nisenblat V","Cochrane Database Syst Rev","2016","2016/05/02","PMC7076288","","10.1002/14651858.CD012179"
